prompt_id,name,prompt_text,prompt_ready
p11,subway_interior,"A crowded subway car interior as it moves, passengers swaying, reading phones, flickering tunnel lights through windows, handheld documentary style.","Generate a video, as realistic as possible, of a crowded subway car interior as it moves, passengers swaying, reading phones, flickering tunnel lights through windows, handheld documentary style. No voices or speech."
p12,wine_pour,"A glass of red wine being poured at a dinner table, liquid filling and swirling, candlelight, reflections through the glass, slow motion.","Generate a video, as realistic as possible, of a glass of red wine being poured at a dinner table, liquid filling and swirling, candlelight, reflections through the glass, slow motion. No voices or speech."
p13,rock_climbing,"A person rock climbing on a sheer cliff face, reaching for a hold, muscles tensing, harsh midday sun, camera tracking upward.","Generate a video, as realistic as possible, of a person rock climbing on a sheer cliff face, reaching for a hold, muscles tensing, harsh midday sun, camera tracking upward. No voices or speech."
p14,rainy_car_pov,"A rainy city street seen from inside a moving car, raindrops on the windshield, wipers moving, blurred headlights and traffic signals, neon reflections.","Generate a video, as realistic as possible, of a rainy city street seen from inside a moving car, raindrops on the windshield, wipers moving, blurred headlights and traffic signals, neon reflections. No voices or speech."
p15,birthday_candles,"A child blowing out candles on a birthday cake, smoke curling, faces of family around the table, warm indoor party lighting, slight handheld movement.","Generate a video, as realistic as possible, of a child blowing out candles on a birthday cake, smoke curling, faces of family around the table, warm indoor party lighting, slight handheld movement. No voices or speech."
p16,horse_gallop,"A horse galloping across an open field at sunrise, mane and tail flowing, dust kicking up, long lens tracking shot from the side.","Generate a video, as realistic as possible, of a horse galloping across an open field at sunrise, mane and tail flowing, dust kicking up, long lens tracking shot from the side. No voices or speech."
p17,surgeon_suture,"A surgeon's gloved hands tying a suture under bright operating-room lights, precise small movements, sterile blue drapes, extreme close-up.","Generate a video, as realistic as possible, of a surgeon's gloved hands tying a suture under bright operating-room lights, precise small movements, sterile blue drapes, extreme close-up. No voices or speech."
p18,street_guitarist,"A street musician playing acoustic guitar, fingers on the fretboard and strumming hand moving, small crowd watching, golden-hour backlight.","Generate a video, as realistic as possible, of a street musician playing acoustic guitar, fingers on the fretboard and strumming hand moving, small crowd watching, golden-hour backlight. No voices or speech."
p19,snowboarder,"A snowboarder carving down a mountain slope, snow spray, jumping off a small ridge, bright alpine daylight, GoPro-style following shot.","Generate a video, as realistic as possible, of a snowboarder carving down a mountain slope, snow spray, jumping off a small ridge, bright alpine daylight, GoPro-style following shot. No voices or speech."
p20,outdoor_market,"A bustling outdoor market with vendors, hanging price signs with text, hands exchanging produce and cash, dappled sunlight through awnings, slow pan.","Generate a video, as realistic as possible, of a bustling outdoor market with vendors, hanging price signs with text, hands exchanging produce and cash, dappled sunlight through awnings, slow pan. No voices or speech."
p21,news_anchor,"A news anchor at a desk speaking directly to camera, clear lip movement synced to speech, station lower-third text on screen, studio lighting, locked-off medium shot.","Generate a video, as realistic as possible, of a news anchor at a desk speaking directly to camera, clear lip movement, station lower-third text on screen, studio lighting, locked-off medium shot. No voices or speech."
p22,counting_bills,"A person counting out paper bills onto a table one by one, fingers separating notes, denomination numbers visible on the currency, overhead close-up, soft daylight.","Generate a video, as realistic as possible, of a person counting out paper bills onto a table one by one, fingers separating notes, denomination numbers visible on the currency, overhead close-up, soft daylight. No voices or speech."
p23,glassblower,"A glassblower rotating a molten gob on a blowpipe in front of a furnace, glowing orange material deforming under gravity, sparks and heat haze, dim workshop.","Generate a video, as realistic as possible, of a glassblower rotating a molten gob on a blowpipe in front of a furnace, glowing orange material deforming under gravity, sparks and heat haze, dim workshop. No voices or speech."
p24,fountain_pen,"A close-up of someone signing their name with a fountain pen, ink flowing onto paper, legible cursive forming, warm desk light, shallow depth of field.","Generate a video, as realistic as possible, of someone signing their name with a fountain pen in close-up, ink flowing onto paper, legible cursive forming, warm desk light, shallow depth of field. No voices or speech."
p25,mall_escalator,"A crowded escalator in a shopping mall, dozens of people standing and moving on two adjacent escalators, mirrored glass and signage with store names, wide static shot.","Generate a video, as realistic as possible, of a crowded escalator in a shopping mall, dozens of people standing and moving on two adjacent escalators, mirrored glass and signage with store names, wide static shot. No voices or speech."
p26,talking_face,"A close-up of a person talking directly to camera in a quiet room, natural blinking and shifting gaze, subtle expression changes as they speak, soft window light, static shot.","Generate a video, as realistic as possible, of a person talking directly to camera in close-up in a quiet room, natural blinking and shifting gaze, subtle expression changes as they speak, soft window light, static shot. No voices or speech."
p27,greeting_pair,"Two friends greeting each other on a sidewalk with a hug and a handshake, eye contact and laughter, full upper bodies, natural daylight, handheld medium shot.","Generate a video, as realistic as possible, of two friends greeting each other on a sidewalk with a hug and a handshake, eye contact and laughter, full upper bodies, natural daylight, handheld medium shot. No voices or speech."
p28,walking_toward,"A person walking toward the camera down a city sidewalk, full body visible, natural stride with arms swinging, pedestrians passing behind, overcast daylight, slow dolly back.","Generate a video, as realistic as possible, of a person walking toward the camera down a city sidewalk, full body visible, natural stride with arms swinging, pedestrians passing behind, overcast daylight, slow dolly back. No voices or speech."
p29,mirror_makeup,"A close-up of a person applying makeup in a bathroom mirror, fingers steadying near the eyes and lips, their reflection visible in the mirror, bright even light.","Generate a video, as realistic as possible, of a person applying makeup in a bathroom mirror in close-up, fingers steadying near the eyes and lips, their reflection visible in the mirror, bright even light. No voices or speech."
p30,jump_rope,"A person skipping with a jump rope in a gym, the rope arcing overhead and under the feet, repetitive coordinated arm and leg motion, full body, even indoor lighting, static shot.","Generate a video, as realistic as possible, of a person skipping with a jump rope in a gym, the rope arcing overhead and under the feet, repetitive coordinated arm and leg motion, full body, even indoor lighting, static shot. No voices or speech."
