clip,source,label_4class,label_binary,prompt_id,gend_fake_score,pred_label,n_frames
real_p18_002,real,real,0,p18,0.5381,Fake,16
real_p19_002,real,real,0,p19,0.7267,Fake,16
real_p20_001,real,real,0,p20,0.494,Real,16
real_p21_001,real,real,0,p21,0.0522,Real,16
real_p21_002,real,real,0,p21,0.1042,Real,16
real_p23_001,real,real,0,p23,0.4132,Real,16
real_p24_001,real,real,0,p24,0.6002,Fake,4
real_p25_001,real,real,0,p25,0.7596,Fake,16
real_p26_001,real,real,0,p26,0.3628,Real,16
real_p27_001,real,real,0,p27,0.4091,Real,16
real_p28_001,real,real,0,p28,0.8638,Fake,16
real_p29_001,real,real,0,p29,0.7569,Fake,16
real_p29_002,real,real,0,p29,0.637,Fake,16
real_p29_003,real,real,0,p29,0.5697,Fake,16
real_p30_001,real,real,0,p30,0.6895,Fake,16
real_p31_001,real,real,0,p31,0.1176,Real,16
real_p32_001,real,real,0,p32,0.23,Real,16
real_p33_001,real,real,0,p33,0.0664,Real,16
real_p34_001,real,real,0,p34,0.3718,Real,16
real_p35_001,real,real,0,p35,0.5005,Fake,16
veo_p01_001,veo31,veo31,1,p01,0.2046,Real,2
veo_p03_001,veo31,veo31,1,p03,0.8228,Fake,16
veo_p07_001,veo31,veo31,1,p07,0.9167,Fake,16
veo_p08_001,veo31,veo31,1,p08,0.1457,Real,16
veo_p11_001,veo31,veo31,1,p11,0.5402,Fake,16
veo_p13_001,veo31,veo31,1,p13,0.5502,Fake,16
veo_p15_001,veo31,veo31,1,p15,0.5965,Fake,16
veo_p18_001,veo31,veo31,1,p18,0.8323,Fake,16
veo_p19_001,veo31,veo31,1,p19,0.7055,Fake,14
veo_p20_001,veo31,veo31,1,p20,0.6452,Fake,16
veo_p22_001,veo31,veo31,1,p22,0.7145,Fake,16
veo_p23_001,veo31,veo31,1,p23,0.5054,Fake,16
veo_p23_002,veo31,veo31,1,p23,0.5365,Fake,16
veo_p25_001,veo31,veo31,1,p25,0.6516,Fake,16
veo_p27_001,veo31,veo31,1,p27,0.6888,Fake,16
veo_p28_001,veo31,veo31,1,p28,0.231,Real,16
veo_p29_001,veo31,veo31,1,p29,0.5587,Fake,16
veo_p30_001,veo31,veo31,1,p30,0.911,Fake,16
veo_p31_001,veo31,veo31,1,p31,0.1819,Real,16
veo_p32_001,veo31,veo31,1,p32,0.4618,Real,16
veo_p33_001,veo31,veo31,1,p33,0.461,Real,16
veo_p34_001,veo31,veo31,1,p34,0.2209,Real,16
veo_p35_001,veo31,veo31,1,p35,0.2917,Real,16
